epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,49.9718,1.69887,1.17486,2.29852,0.97926,1,0.995,0.48124,1.77353,1.20703,2.44823,0.000279548,0.000279548,0.000279548
67,50.7039,1.55166,1.19102,2.15362,0.98775,1,0.995,0.50456,1.74135,1.16543,2.42663,0.000261864,0.000261864,0.000261864
68,51.4446,1.62472,1.20547,2.23815,0.99111,1,0.995,0.52724,1.6165,1.13712,2.36674,0.00024418,0.00024418,0.00024418
69,52.176,1.54717,1.19303,2.21323,0.9913,1,0.995,0.59638,1.43183,1.08206,2.29034,0.000226497,0.000226497,0.000226497
70,52.9028,1.47928,1.12085,2.19672,0.9913,1,0.995,0.59638,1.43183,1.08206,2.29034,0.000208813,0.000208813,0.000208813
71,54.2224,1.36949,1.32788,2.14831,0.99006,1,0.995,0.67093,1.22969,1.01027,2.20659,0.000191129,0.000191129,0.000191129
72,54.9968,1.28394,1.27379,2.07267,0.99139,1,0.995,0.72673,1.08229,0.96105,2.13218,0.000173445,0.000173445,0.000173445
73,55.7375,1.27536,1.28675,2.07661,0.99281,1,0.995,0.74406,1.02599,0.95306,2.09404,0.000155761,0.000155761,0.000155761
74,56.4634,1.27807,1.24601,2.10537,0.99281,1,0.995,0.74406,1.02599,0.95306,2.09404,0.000138077,0.000138077,0.000138077
75,57.3032,1.30131,1.23488,2.01563,0.99495,1,0.995,0.74304,1.01693,0.96228,2.07633,0.000120393,0.000120393,0.000120393
76,58.042,1.23848,1.17279,2.0412,0.99539,1,0.995,0.73814,1.01785,0.97662,2.0629,0.000102709,0.000102709,0.000102709
77,58.7764,1.3594,1.24325,2.10792,0.99571,1,0.995,0.73736,1.01883,0.97339,2.05716,8.50255e-05,8.50255e-05,8.50255e-05
78,59.4994,1.31232,1.20635,2.07718,0.99571,1,0.995,0.73736,1.01883,0.97339,2.05716,6.73416e-05,6.73416e-05,6.73416e-05
79,60.2297,1.24601,1.17871,2.01877,0.9932,1,0.995,0.73801,1.02036,0.97771,2.05168,4.96578e-05,4.96578e-05,4.96578e-05
80,60.9511,1.16967,1.14125,2.03197,0.99125,1,0.995,0.74646,1.01668,0.9764,2.04294,3.19739e-05,3.19739e-05,3.19739e-05
